pathway_id,pathway_name,score,rank
R-HSA-9694614,Attachment and Entry,0.5546141283135224,84
R-HSA-9918487,Dengue Virus Genome Translation and Replication,0.5546141283135224,85
R-HSA-9931269,AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274),0.5546141283135224,86
R-HSA-9954709,Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide,0.5546141283135224,87
R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition,0.5515699207155326,88
R-HSA-9755511,KEAP1-NFE2L2 pathway,0.5437854238768092,89
R-HSA-9013973,TICAM1-dependent activation of IRF3/IRF7,0.5416253598795056,90
R-HSA-936964,"Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)",0.5416253598795056,91
R-HSA-9824878,"Regulation of TBK1, IKKε (IKBKE)-mediated activation of IRF3, IRF7 ",0.5416253598795056,92
R-HSA-9828211,"Regulation of TBK1, IKKε-mediated activation of IRF3, IRF7 upon TLR3 ligation",0.5416253598795056,93
R-HSA-2132295,MHC class II antigen presentation,0.5410419909081955,94
R-HSA-5205685,PINK1-PRKN Mediated Mitophagy,0.538735813066369,95
R-HSA-205043,NRIF signals cell death from the nucleus,0.5329567194400958,96
R-HSA-209543,p75NTR recruits signalling complexes,0.5329567194400958,97
R-HSA-209560,NF-kB is activated and signals survival,0.5329567194400958,98
R-HSA-9020702,Interleukin-1 signaling,0.5329567194400958,99
R-HSA-9664873,Pexophagy,0.5329567194400958,100
R-HSA-9759194,Nuclear events mediated by NFE2L2,0.5329567194400958,101
R-HSA-936440,Negative regulators of DDX58/IFIH1 signaling,0.5287352166633443,102
R-HSA-5357786,TNFR1-induced proapoptotic signaling,0.5238462690172887,103
R-HSA-5357905,Regulation of TNFR1 signaling,0.5238462690172887,104
R-HSA-8951664,Neddylation,0.5232056476613455,105
R-HSA-8854214,TBC/RABGAPs,0.5140683737251777,106
R-HSA-376176,Signaling by ROBO receptors,0.501893929414643,107
R-HSA-4086400,PCP/CE pathway,0.501893929414643,108
R-HSA-5357956,TNFR1-induced NF-kappa-B signaling pathway,0.5011782305090164,109
R-HSA-72163,mRNA Splicing - Major Pathway,0.49605521048745504,110
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,0.49605521048745504,111
R-HSA-9770562,mRNA Polyadenylation,0.49605521048745504,112
R-HSA-9918481,Dengue Virus-Host Interactions,0.49605521048745504,113
R-HSA-9692914,SARS-CoV-1-host interactions,0.49513717885136416,114
R-HSA-9735869,SARS-CoV-1 modulates host translation machinery,0.49513717885136416,115
R-HSA-418990,Adherens junctions interactions,0.4950159404127624,116
R-HSA-9708296,"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis",0.4950159404127624,117
R-HSA-168638,NOD1/2 Signaling Pathway,0.4882880872928552,118
R-HSA-5689880,Ub-specific processing proteases,0.4882880872928552,119
R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis,0.4871944694743581,120
R-HSA-1660514,Synthesis of PIPs at the Golgi membrane,0.48601003777370094,121
R-HSA-1660516,Synthesis of PIPs at the early endosome membrane,0.48601003777370094,122
R-HSA-1660517,Synthesis of PIPs at the late endosome membrane,0.48601003777370094,123
R-HSA-264876,Insulin processing,0.4824845843031668,124
R-HSA-5625970,RHO GTPases activate KTN1,0.4824845843031668,125
R-HSA-983168,Antigen processing: Ubiquitination & Proteasome degradation,0.48204609523041836,126
R-HSA-9725370,Signaling by ALK fusions and activated point mutants,0.4744017813027567,127
R-HSA-9861718,Regulation of pyruvate metabolism,0.463885432197394,128
R-HSA-8876198,RAB GEFs exchange GTP for GDP on RABs,0.4594424874369289,129
